Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W94     3466.45         3471.36         0.15196         0.998585        26.2657         2.66582         
W95     3465.19         3528.42         0.132054        0.98208         18.9709         3.10243         
W96     3463.79         3496.11         0.140607        0.990756        39.1467         0.679732        
W97     3462.25         3656.86         0.14561         0.946785        12.3579         0.558544        
W98     3460.58         3600.66         0.140755        0.961096        5.64804         0.689569        
W99     3458.77         3599.5          0.145319        0.960902        76.3968         1.38412         
W100    3456.82         3416.07         0.137063        1.01193         53.5736         3.22684         
W101    3454.74         3731.66         0.149268        0.925792        3.72774         1.17861         
W102    3452.52         123152          0.152761        0.5             199.914         3.88815         
W103    3454.46         3780.88         0.138047        0.913665        36.6995         5.45121         
W104    3456.68         3642.45         0.132235        0.948997        32.4043         0.516807        
W105    3458.77         3473.4          0.119322        0.995787        35.8506         3.12959         
W106            3460.72         3513.49         0.98498         360.523         0.555248        
W107            3462.53         3472.01         0.997269        105.701         1.48801         
W108            3464.21         3500.21         0.989714        69.3279         2.3678          
W109    3465.75         3421.77         0.128432        1.01285         50.7817         0.588295        
W110    3467.15         3476.89         0.12832         0.997198        31.9643         3.96736         
W111    3468.41         3474.4          0.132794        0.998277        39.6673         0.49955         
W112    3469.53         3469.04         0.133263        1.00014         40.166          3.66411         
W113    3470.52         3487.86         0.150466        0.995027        66.7833         2.99139         
W114    3471.36         3469.14         0.132145        1.00064         60.8607         0.45585         
W115    3472.06         3473.01         0.135967        0.999728        65.6168         7.93542         
W116    3472.63         3466.68         0.132639        1.00172         70.9762         0.601921        
W117    3473.05         3504.54         0.144839        0.991014        22.448          3.65144         
W118    3473.33         3475.98         0.127697        0.999238        44.2002         2.43533         
W119    3473.47         3476.79         0.140931        0.999046        33.262          1.52748         
W120    3473.47         3472.96         0.132405        1.00015         67.2463         0.953934        
W121    3473.33         3472.3          0.131474        1.0003          51.854          0.347737        
W122    3473.05         3469.05         0.13419         1.00115         64.9401         0.375615        
W123    3472.63         3469.57         0.137646        1.00088         69.4799         1.18689         
W124    3472.06         3461.06         0.138464        1.00318         61.9165         3.97625         
W125    3471.36         3443.87         0.133431        1.00798         62.35           3.17514         
W126    3470.52         3463.12         0.135805        1.00214         43.7389         1.29819         
W127    3469.53         3467.59         0.139248        1.00056         64.1345         0.892538        
W128    3468.41         3472.58         0.124581        0.998799        60.0599         0.660194        
W129    3467.15         3469.28         0.145213        0.999385        59.8779         1.19051         
W130    3465.75         3473            0.133396        0.997912        59.1508         0.787381        
W131            3464.21         3478.24         0.995965        94.1731         1.29787         
W132            3462.53         3436.72         1.00751         140.372         1.24868         
W133    3460.72         3548.7          0.138959        0.975207        21.9114         3.41081         
W134    3458.77         3491.71         0.135845        0.990564        42.612          5.7954          
W135            3456.68         3542.71         0.975717        93.1146         0.609597        
W136    3454.46         3685.72         0.16045         0.937253        6.37331         0.823388        
W137    3456.26         3691.94         0.142092        0.936162        3.57556         1.24462         
W138    3458.48         3889.9          0.139019        0.889094        1.3866          8.91874e-07     
W139    3460.57         3555.93         0.133635        0.973184        18.6306         0.189388        
W140    3462.53         3485.32         0.136746        0.99346         16.9532         1.05289         
W141            3464.34         3443.49         1.00606         153.426         2.02072         
W142    3466.02         3486.25         0.143187        0.994197        20.6174         1.22972         
W143    3467.57         3479.94         0.132284        0.996445        76.0665         1.3154          
W144    3468.97         3502.8          0.13105         0.990342        104.162         0.776301        
W145    3470.23         3464.87         0.134533        1.00155         32.7053         0.803407        
W146    3471.36         3469.18         0.134979        1.00063         55.1176         0.365774        
W147    3472.34         3472.84         0.140429        0.999857        71.4394         0.83382         
W148    3473.19         3472.53         0.138833        1.00019         74.9321         1.85257         
W149    3473.89         3475.34         0.134386        0.999583        61.8051         1.20856         
W150    3474.46         3476.77         0.142021        0.999335        57.129          0.710809        
W151    3474.88         3473.42         0.148987        1.00042         64.5874         0.146312        
W152    3475.16         3477.61         0.138455        0.999297        51.7854         0.590863        
W153    3475.3          3473.9          0.146217        1.0004          56.2489         1.11934         
W154    3475.3          3466.46         0.140846        1.00255         35.8742         0.0521548       
W155    3475.16         3471.19         0.134041        1.00114         77.7847         1.49983         
W156    3474.88         3474.96         0.142722        0.999978        58.6725         1.62043         
W157    3474.46         3475.59         0.14335         0.999673        53.7667         1.64619         
W158    3473.89         3478.89         0.156071        0.998565        64.1679         0.789501        
W159    3473.19         3472.25         0.133731        1.00027         78.8662         6.51395         
W160    3472.34         3410            0.13419         1.01828         69.0361         0.235573        
W161    3471.36         3435.88         0.142585        1.01033         58.4698         4.63532         
W162    3470.23         3469.51         0.135085        1.00021         71.9123         1.4618          
W163    3468.97         3476.22         0.136449        0.997915        61.9216         1.36421         
W164    3467.57         3464.7          0.137319        1.00083         21.3273         0.742892        
W165    3466.02         3469.88         0.124267        0.998889        20.3444         2.64211         
W166            3464.34         3462.79         1.00045         74.9511         0.776933        
W167            3462.53         3478.98         0.995271        93.1061         1.41929         
W168    3460.57         3516.32         0.139861        0.984146        29.7619         3.73489         
W169    3458.48         3599.98         0.12805         0.960695        36.6178         2.06017         
W170    3456.26         3818.82         0.147983        0.905058        5.81924         3.42247e-05     
W171    3457.92         3524.71         0.138009        0.981051        35.8465         0.339234        
W172    3460.15         3467.05         0.13134         0.99801         72.5566         2.12535         
W173    3462.24         3484.12         0.139753        0.993723        37.1629         0.612936        
