Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      3448.24         3189.98         0.123827        1.08096         39.4937         2.3             
W2      3450.45         2997.02         0.100705        1.15129         25.6753         1.60545         
W3      3452.53         3439.78         0.12416         1.0037          22.7115         0.564342        
W4      3454.47         3900            0.160217        0.885761        6.0169          3.80413e-05     
W5      3456.27         3299.38         0.145917        1.04755         38.44           1.75218         
W6      3457.94         2370.98         0.061           1.45844         2.96659         7.62431e-06     
W7      3459.47         3709.48         0.134842        0.932603        4.01476         2.70433e-05     
W8      3460.87         3056.54         0.132982        1.13228         67.6073         1.85731         
W9      3462.12         3216.72         0.139815        1.07629         42.4348         4.97552         
W10     3463.24         3240            0.129199        1.0689          6.01691         3.8043e-05      
W11     3464.22         3306.29         0.139483        1.04777         46.1565         1.95666         
W12     3465.06         3271.28         0.134202        1.05924         12.7486         0.0595303       
W13     3465.76         3202.93         0.135956        1.08206         61.9894         1.37045         
W14     3466.32         3282.86         0.152316        1.05589         63.4955         4.02936         
W15     3466.74         3090            0.155601        1.12192         47.6613         0.459376        
W16     3467.02         3172.45         0.148018        1.09285         62.3079         1.57184         
W17     3467.16         3241.43         0.140415        1.06964         7.43465         1.51934         
W18     3467.16         3240.62         0.144451        1.06991         75.6097         0.136183        
W19     3467.02         3387.41         0.1476          1.0235          25.9331         4.29868         
W20     3466.74         3224.69         0.145241        1.07506         25.8823         0.650842        
W21     3466.32         2941.36         0.148418        1.17847         29.5909         4.85491         
W22     3465.76         3015.3          0.11648         1.14939         84.8405         1.14399         
W23     3465.06         3243.05         0.131656        1.06846         4.28694         0.595612        
W24     3464.22         3244.44         0.129786        1.06774         30.5804         0.452849        
W25     3463.24         3049.94         0.128429        1.13551         16.3939         0.35102         
W26     3462.12         3270.28         0.129987        1.05866         1.23288         3.25962e-06     
W27     3460.87         3307.67         0.130225        1.04632         46.8593         1.63766         
W28     3459.47         3181.06         0.133344        1.08752         57.2738         3.49831         
W29     3457.94         3137.17         0.135125        1.10225         46.169          2.85625         
W30     3456.27         3246.97         0.140045        1.06446         24.8202         0.460298        
W31     3454.47         3105            0.131289        1.11255         16.5886         0.767411        
W32     3452.53         3429.35         0.120735        1.00676         1.20214         6.47836e-06     
W33     3450.45         3132.36         0.143096        1.10155         46.8883         3.02395         
W34     3448.24         3149.26         0.14261         1.09494         3.99153         1.46833e-05     
W35     3450.45         3259.78         0.128929        1.05849         11.0171         1.62036         
W36     3452.66         3209.2          0.133382        1.07586         37.3536         0.273564        
W37     3454.74         3206            0.127254        1.07759         33.9101         0.783023        
W38     3456.69         3108.01         0.128181        1.11219         53.6224         2.36061         
W39     3458.49         3183.59         0.118932        1.08635         65.0549         2.14079         
W40     3460.17         3138.73         0.12237         1.10241         18.673          1.17618         
W41     3461.7          3429.35         0.101262        1.00943         1.20214         6.47836e-06     
W42     3463.1          3169.87         0.133113        1.09251         34.3674         0.92925         
W43     3464.35         3254.19         0.131722        1.06458         36.6757         3.58726         
W44     3465.47         3233.96         0.127036        1.07159         43.4671         3.03685         
W45     3466.46         3277.11         0.128405        1.05778         113.772         4.12065         
W46     3467.3          3251.67         0.134793        1.06631         70.1219         3.35044         
W47     3468            3272.63         0.134005        1.0597          68.8676         1.19856         
W48     3468.56         3221.86         0.141216        1.07657         76.8402         3.50506         
W49     3468.98         3297.28         0.143638        1.05207         44.1846         0.723681        
W50     3469.26         3293.87         0.150597        1.05325         45.4631         2.26081         
W51     3469.4          3271.47         0.135561        1.0605          62.9654         0.875134        
W52     3469.4          3238.3          0.143777        1.07136         56.8756         1.7469          
W53     3469.26         3306.68         0.1368          1.04917         33.3121         0.774847        
W54     3468.98         3233.65         0.131851        1.07278         48.0547         2.33856         
W55     3468.56         2461.18         0.061           1.40931         5.83568         4.19346e-05     
W56     3468            3286.79         0.120643        1.05513         173.637         2.24027         
W57     3467.3          3171.83         0.123528        1.09315         55.869          1.85567         
W58     3466.46         3344.23         0.141345        1.03655         188.749         3.56533         
W59     3465.47         3315.62         0.129122        1.0452          199.977         7.5544          
W60     3464.35         3304.62         0.122765        1.04834         28.5716         3.1449          
W61     3463.1          3219.09         0.131632        1.0758          42.9059         3.4846          
W62     3461.7          3197.41         0.135641        1.08266         35.3008         1.22495         
W63     3460.17         3076.11         0.127921        1.12485         59.9025         0.193458        
W64     3458.49         3241            0.127988        1.06711         30.0154         2.58417         
W65     3456.69         3130.03         0.126535        1.10436         46.7006         1.53123         
W66     3454.74         3015.84         0.127721        1.14553         37.6008         1.14532         
W67     3452.66         2976.92         0.137708        1.15981         30.5605         0.548053        
W68     3450.45         3772.09         0.152188        0.914732        3.27905         1.27041         
W69     3452.52         3193.96         0.124482        1.08095         31.9106         5.05405         
W70     3454.74         3228.41         0.141726        1.07011         21.9188         0.346197        
W71     3456.82         3098.9          0.123644        1.1155          53.6526         3.6903          
W72     3458.77         3124.48         0.11313         1.10699         26.3287         0.771738        
W73     3460.58         3062.5          0.114814        1.12999         193.043         1.34314         
W74     3462.25         3165.57         0.123145        1.09372         55.2398         2.87759         
W75     3463.79         3101.42         0.116006        1.11684         35.1443         0.764413        
W76     3465.19         3254.56         0.127481        1.06472         17.5521         3.55188         
W77     3466.45         3001.31         0.12512         1.15498         47.8949         6.09913         
W78     3467.57         3196.43         0.133999        1.08482         66.7097         1.10901         
W79     3468.55         3198.13         0.147628        1.08456         30.664          1.54553         
W80     3469.4          3079.93         0.138475        1.12645         69.1119         2.56913         
W81     3470.1          3253.07         0.142059        1.06672         57.1747         1.45418         
W82     3470.66         3270.39         0.139964        1.06124         42.5868         0.975123        
W83     3471.08         3317.61         0.137684        1.04626         33.3321         0.691448        
W84     3471.36         3311.47         0.137748        1.04829         50.7165         3.13391         
W85     3471.51         3270.8          0.132892        1.06136         45.4822         2.9641          
W86     3471.51         3289.26         0.141801        1.05541         15.1077         0.891943        
W87     3471.36         3310.27         0.13453         1.04867         53.7213         2.7859          
W88     3471.08         3239.75         0.136023        1.0714          74.1833         1.74059         
W89     3470.66         3200.81         0.119733        1.08431         39.1922         0.173448        
W90     3470.1          3176.34         0.127343        1.09248         48.2983         1.01169         
W91     3469.4          3225.09         0.13134         1.07575         70.2668         1.38804         
W92     3468.55         3305.02         0.128229        1.04948         16.2152         0.532911        
W93     3467.57         3238.22         0.13149         1.07083         49.0146         0.678131        
W94     3466.45         3142.77         0.137834        1.10299         56.0642         0.499978        
W95     3465.19         3270.83         0.125534        1.05942         59.1272         4.97433         
W96     3463.79         3239.47         0.130464        1.06925         59.8079         0.908678        
W97     3462.25         3123.58         0.13226         1.10843         72.8534         2.32318         
W98     3460.58         3270.01         0.129795        1.05828         39.9821         0.943384        
W99     3458.77         3220.32         0.132061        1.07405         22.2457         2.01208         
