Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      3448.24         3830.39         0.126934        0.900233        1.06959         5.56002e-07     
W2      3450.45         3759.42         0.111639        0.917814        38.2814         1.70045         
W3      3452.53         3483.44         0.123767        0.991127        36.1655         2.01666         
W4      3454.47         3724.65         0.140789        0.927461        124.205         2.00578         
W5      3456.27         3580.4          0.144781        0.96533         110.453         0.309112        
W6      3457.94         3524.21         0.124851        0.981196        35.4178         2.70657         
W7      3459.47         3637.43         0.126148        0.951077        42.4374         5.69568         
W8      3460.87         3466.93         0.148568        0.99825         37.4967         0.303931        
W9      3462.12         3505.19         0.143274        0.987712        37.8169         0.491341        
W10     3463.24         3515.14         0.144225        0.985235        29.5518         0.732963        
W11     3464.22         3530.02         0.142215        0.981359        62.6571         0.489244        
W12     3465.06         3523.09         0.138768        0.983528        68.7198         2.94449         
W13     3465.76         3326.01         0.12792         1.04202         65.9149         1.01125         
W14     3466.32         3441.56         0.14837         1.00719         57.4842         3.67719         
W15     3466.74         3569.13         0.163964        0.971311        39.6907         1.57015         
W16     3467.02         3446.36         0.158071        1.00599         64.394          2.74645         
W17     3467.16         3511.34         0.144781        0.987419        78.4169         0.18252         
W18     3467.16         3569.3          0.151825        0.971382        17.7838         2.21762         
W19     3467.02         3574.41         0.148448        0.969955        26.5841         1.18902         
W20     3466.74         3593.15         0.151524        0.964818        200             3.12401         
W21     3466.32         3600.26         0.173369        0.962796        23.8674         2.49836         
W22     3465.76         3564.19         0.122964        0.972383        41.32           2.4338          
W23     3465.06         3501.32         0.137893        0.989645        51.0107         3.23924         
W24     3464.22         3595.31         0.130544        0.963538        43.2087         1.33868         
W25     3463.24         3739.72         0.153056        0.926069        6.23397         0.991345        
W26     3462.12         3512.98         0.145894        0.985524        53.0707         2.85437         
W27     3460.87         3453.19         0.129268        1.00222         34.7545         0.578225        
W28     3459.47         3505.24         0.134289        0.986944        45.326          0.264757        
W29     3457.94         3766.62         0.154001        0.918048        51.4116         0.255828        
W30     3456.27         3578.76         0.145999        0.965773        37.7758         0.616461        
W31     3454.47         3808.81         0.152805        0.906968        3.13061         9.34207e-06     
W32     3452.53         3597.4          0.143513        0.959729        48.8724         4.57046         
W33     3450.45         3758.82         0.154176        0.91796         5.82311         3.58898e-05     
W34     3448.24         3730.04         0.150059        0.924452        1.05696         3.41012e-06     
W35     3450.45         3676.01         0.139936        0.938639        10.1796         2.07847         
W36     3452.66         3627.05         0.137753        0.951921        31.5135         2.23634         
W37     3454.74         3450            0.129927        1.00137         46.1094         0.791583        
W38     3456.69         3542.5          0.134255        0.975777        7.10322         1.16946         
W39     3458.49         3481.32         0.116381        0.993445        50.3927         1.55655         
W40     3460.17         5200.03         0.1268          0.665413        199.823         2.13752         
W41     3461.7          3690.91         0.0818559       0.9379          1.13551         4.26666e-08     
W42     3463.1          3447.73         0.134358        1.00446         80.2318         0.181002        
W43     3464.35         3470.07         0.130859        0.998354        53.7126         1.47365         
W44     3465.47         3484.16         0.122394        0.994638        70.9964         2.60501         
W45     3466.46         3470.87         0.126748        0.998728        70.192          2.78048         
W46     3467.3          3472.26         0.133842        0.998572        70.2911         0.495343        
W47     3468            3454.91         0.131674        1.00379         51.3202         1.32115         
W48     3468.56         3462.91         0.142213        1.00163         37.7088         1.39374         
W49     3468.98         3473.04         0.142119        0.998831        40.1572         2.92892         
W50     3469.26         3480.4          0.153318        0.996801        45.6015         1.03834         
W51     3469.4          3484.16         0.133196        0.995764        18.8043         2.48858         
W52     3469.4          3471.43         0.14767         0.999414        94.515          2.05856         
W53     3469.26         3476.44         0.134416        0.997935        43.1487         1.3007          
W54     3468.98         3476.66         0.131529        0.997792        65.586          3.02991         
W55     3468.56         3261.18         0.0914929       1.06359         5.82572         4.21023e-05     
W56     3468            3490.01         0.120043        0.993693        23.6932         0.854404        
W57     3467.3          3470.36         0.126531        0.999117        58.0124         2.10553         
W58     3466.46         3441.26         0.143738        1.00732         135.295         0.599708        
W59     3465.47         3481.58         0.127209        0.995374        40.9214         0.622645        
W60     3464.35         3364.74         0.113371        1.0296          68.0595         1.50126         
W61     3463.1          3429.66         0.130752        1.00975         59.2339         0.538652        
W62     3461.7          3453.69         0.140063        1.00232         42.2115         2.98297         
W63     3460.17         3441.3          0.137714        1.00548         32.3335         0.822798        
W64     3458.49         3602.77         0.122515        0.959955        95.1086         1.11663         
W65     3456.69         3521.44         0.130268        0.981613        44.6159         0.76958         
W66     3454.74         3611.01         0.134334        0.956724        32.9528         2.31339         
