Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      3448.24         3851.79         0.126934        0.895232        3.57917         3.49508e-06     
W2      3450.45         3759.42         0.111639        0.917814        38.2814         1.70045         
W3      3452.53         3508.21         0.123767        0.984127        26.2566         1.83147         
W4      3454.47         3733.19         0.140789        0.925339        75.8564         3.2409          
W5      3456.27         3575.76         0.144781        0.966585        95.472          0.0927416       
W6      3457.94         3522.34         0.124851        0.981716        37.4429         4.98732         
W7      3459.47         3718.73         0.126148        0.930285        39.1442         2.95496         
W8      3460.87         3470.53         0.148568        0.997215        33.6786         0.0624559       
W9      3462.12         3505.81         0.143274        0.987538        41.8776         0.843419        
W10     3463.24         3517.31         0.144225        0.984628        28.6534         1.00215         
W11     3464.22         3530.02         0.142215        0.981359        62.6571         0.489244        
W12     3465.06         3607.18         0.138768        0.960601        33.8286         6.08702         
W13     3465.76         3241.51         0.12792         1.06918         200             0.871972        
W14     3466.32         3435.47         0.14837         1.00898         50.3527         3.43393         
W15     3466.74         3606.35         0.163964        0.961287        7.02438         1.40825         
W16     3467.02         3507.32         0.158071        0.988511        55.4695         0.834893        
W17     3467.16         3509.42         0.144781        0.987957        84.4368         0.620708        
W18     3467.16         3569.82         0.151825        0.971241        32.0152         1.10273         
W19     3467.02         3562.8          0.148448        0.973116        34.4667         1.02018         
W20     3466.74         3573.48         0.151524        0.970131        39.7379         3.50291         
W21     3466.32         3609.39         0.173369        0.960361        18.8275         1.29943         
W22     3465.76         3565.23         0.122964        0.972099        55.6022         3.53861         
W23     3465.06         3500.06         0.137893        0.989999        48.1167         3.41075         
W24     3464.22         3597.15         0.130544        0.963047        21.7024         2.06214         
W25     3463.24         3528.8          0.153056        0.981422        34.3025         0.370362        
W26     3462.12         3543.64         0.145894        0.976996        24.7158         2.1952          
W27     3460.87         3548.77         0.129268        0.975229        33.1928         1.85646         
W28     3459.47         3499.2          0.134289        0.988646        48.2475         1.49524         
W29     3457.94         3766.62         0.154001        0.918048        51.4116         0.255828        
W30     3456.27         3570.49         0.145999        0.968012        11.7473         1.0168          
W31     3454.47         3808.81         0.152805        0.906968        3.13061         9.34207e-06     
W32     3452.53         3597.4          0.143513        0.959729        48.8724         4.57046         
W33     3450.45         3758.82         0.154176        0.91796         5.81925         3.42276e-05     
W34     3448.24         3730.04         0.150059        0.924452        1.05696         3.41012e-06     
W35     3450.45         3644.67         0.139936        0.94671         27.414          0.459774        
W36             3452.66         3472.1          0.994402        160.869         1.11412         
W37     3454.74         3457.26         0.130165        0.999271        28.9657         3.18886         
W38             3456.69         3441.12         1.00452         226.319         1.13947         
W39             3458.49         3465.32         0.998028        58.4934         0.834129        
W40             3460.17         3455.63         1.00131         101.821         1.20987         
W41             3461.7          2475.21         1.39855         300.366         0.65733         
W42     3463.1          18955.4         0.135288        0.5             200             3.41962         
W43     3464.35         3463.82         0.130486        1.00016         60.1087         1.86791         
W44     3465.47         3451.93         0.121658        1.00392         123.03          1.423           
W45     3466.46         3459.83         0.12665         1.00192         52.6449         2.24914         
W46     3467.3          3473.19         0.133806        0.998303        91.7799         0.6593          
W47     3468            3470.42         0.132243        0.999302        65.0324         2.95949         
W48     3468.56         3464.2          0.142598        1.00126         32.8636         0.490283        
W49     3468.98         3471.07         0.141884        0.999399        42.6116         4.14855         
W50     3469.26         3458.92         0.153066        1.00299         58.0652         0.292125        
W51     3469.4          3443.11         0.132575        1.00763         68.3253         1.70722         
W52     3469.4          3462.32         0.147437        1.00205         160.189         2.2009          
W53     3469.26         3472.39         0.13409         0.999099        43.6564         0.652614        
W54     3468.98         3473.58         0.131299        0.998676        54.1102         1.231           
W55     3468.56         3320            0.0973111       1.04475         5.86008         3.85487e-05     
W56     3468            3499.59         0.120257        0.990972        26.3858         2.89159         
W57     3467.3          3469.63         0.126433        0.999326        58.4545         1.43673         
W58     3466.46         3503.93         0.144851        0.989304        38.7366         0.504866        
W59     3465.47         3464.49         0.125988        1.00029         38.7746         0.984273        
W60     3464.35         3329.01         0.116735        1.04066         53.6907         1.6686          
W61     3463.1          3435.53         0.13212         1.00802         50.3875         1.43013         
W62     3461.7          3490.3          0.140388        0.991805        15.4173         1.85857         
W63     3460.17         3449.68         0.138325        1.00304         65.4058         1.55447         
W64             3458.49         3433.9          1.00716         91.2449         1.87753         
W65             3456.69         3427.25         1.00859         182.943         1.10771         
W66             3454.74         3512.06         0.983679        407.64          0.559998        
W67             3452.66         3318.41         1.04046         304.631         0.822945        
W68     3450.45         3642.57         0.125788        0.947257        8.76306         1.45011         
W69     3452.52         3670.13         0.137855        0.940709        30.2688         2.73368         
W70             3454.74         3475.26         0.994096        150.395         0.963906        
W71     3456.82         3455.61         0.130741        1.00035         60.3563         0.675561        
W72     3458.77         3458.92         0.11973         0.999956        31.0795         0.804209        
W73     3460.58         3436.4          0.122428        1.00704         47.2503         3.94448         
W74     3462.25         3464.53         0.126101        0.999343        49.3105         7.65393         
W75     3463.79         3437.54         0.121952        1.00764         47.6024         0.875344        
W76     3465.19         3477.03         0.129195        0.996594        19.1459         0.355571        
W77     3466.45         3467.99         0.138093        0.999555        30.7132         1.26345         
W78     3467.57         3464.29         0.135405        1.00095         51.4684         0.609143        
W79     3468.55         3445.18         0.152999        1.00678         66.6626         1.19611         
W80     3469.4          3467.45         0.154184        1.00056         75.879          1.21851         
W81     3470.1          3475            0.143231        0.998589        35.4561         0.317526        
W82     3470.66         3470.73         0.14229         0.999982        55.7737         1.77572         
W83     3471.08         3469.48         0.136735        1.00046         68.0646         4.66509         
W84     3471.36         3473.2          0.138193        0.999471        39.2596         0.63222         
W85     3471.51         3454.64         0.131595        1.00488         53.0903         1.8023          
W86     3471.51         3467.49         0.146248        1.00116         53.3867         1.07438         
W87     3471.36         3469.42         0.132023        1.00056         33.4061         1.02768         
W88     3471.08         3538.66         0.137093        0.980904        104.646         2.33128         
W89     3470.66         3476.18         0.118588        0.998412        52.7993         4.25141         
W90     3470.1          3465.85         0.131135        1.00122         59.1572         1.99457         
W91     3469.4          3478.47         0.134324        0.997392        57.0062         5.82525         
W92     3468.55         3472.6          0.126023        0.998835        41.5372         1.58486         
W93     3467.57         3417            0.134619        1.0148          56.1682         1.9913          
W94     3466.45         2155.43         0.0727958       1.60824         47.7091         3.58698         
W95     3465.19         3390.6          0.121814        1.022           50.5933         1.15404         
W96     3463.79         3464.7          0.131434        0.999738        55.8525         2.47784         
W97     3462.25         3462.97         0.13846         0.999793        49.6439         0.167527        
W98             3460.58         3458.3          1.00066         81.5721         1.99913         
W99     3458.77         3446.38         0.133221        1.00359         32.1098         2.81864         
W100            3456.82         3454.31         1.00073         96.245          0.619877        
W101            3454.74         3459.84         0.998525        82.8606         0.836691        
W102    3452.52         3503.47         0.138262        0.985456        43.0143         0.263474        
W103    3454.46         3663.96         0.114231        0.94282         32.6511         1.60344         
W104            3456.68         3408            1.01429         194.214         0.453779        
W105    3458.77         3465.22         0.110831        0.998137        26.7694         2.95381         
W106    3460.72         3455.07         0.11519         1.00163         65.6314         3.09446         
W107    3462.53         3464.19         0.103571        0.999522        37.209          0.386812        
W108    3464.21         3467.67         0.10362         0.999003        30.8044         3.20462         
W109    3465.75         3465.93         0.12465         0.999947        45.1958         1.52259         
W110    3467.15         3465.1          0.121716        1.00059         54.9499         0.561545        
W111    3468.41         3467.5          0.125224        1.00026         59.2173         2.15946         
W112    3469.53         3480.66         0.124309        0.996803        200             2.5925          
W113    3470.52         3465.67         0.142995        1.0014          68.906          1.01118         
W114    3471.36         3475.62         0.124207        0.998776        58.8274         1.3438          
W115    3472.06         3471.55         0.127929        1.00015         47.3925         0.72387         
W116    3472.63         3471.57         0.125311        1.0003          57.8178         7.68639         
W117    3473.05         3458.03         0.134479        1.00434         59.9421         0.789982        
W118    3473.33         3471.3          0.119319        1.00059         47.1583         0.419056        
W119    3473.47         3463.96         0.133462        1.00275         53.5845         0.247517        
W120    3473.47         3473.95         0.12334         0.999864        52.837          1.71493         
W121    3473.33         3472.94         0.120583        1.00011         71.2149         0.412709        
W122    3473.05         3473.56         0.125859        0.999853        58.5386         2.33756         
W123    3472.63         3493.25         0.127304        0.994096        25.3165         1.29082         
W124    3472.06         3473.05         0.130914        0.999715        61.0358         3.51891         
W125    3471.36         3473.08         0.122675        0.999504        93.2651         1.34572         
W126    3470.52         3465.55         0.127823        1.00143         51.8194         2.37304         
W127    3469.53         3476.46         0.127745        0.998009        26.9574         1.83446         
W128    3468.41         3392.42         0.112412        1.0224          72.4984         1.8793          
W129    3467.15         3458.29         0.138545        1.00256         22.6818         1.33998         
W130    3465.75         3466.29         0.12184         0.999842        42.2225         4.42677         
W131    3464.21         3460.58         0.125674        1.00105         28.1544         1.59141         
W132    3462.53         3414.8          0.13537         1.01398         61.9679         1.28538         
W133    3460.72         3430.46         0.115402        1.00882         3.59802         0.424212        
W134            3458.77         3460.88         0.99939         109.743         1.57005         
W135            3456.68         3449.85         1.00198         65.0084         1.32475         
W136    3454.46         3683.3          0.148919        0.93787         199.853         0.989125        
W137    3456.26         3464.84         0.133198        0.997524        33.114          1.238           
W138            3458.48         3253.63         1.06296         183.107         0.788031        
W139            3460.57         3441.32         1.00559         82.1889         1.02989         
W140    3462.53         3466.32         0.127487        0.998904        40.4148         0.137872        
W141    3464.34         3475.02         0.123551        0.996927        78.508          0.448           
W142    3466.02         3436.3          0.13358         1.00865         51.1556         1.23439         
W143    3467.57         3465.9          0.123609        1.00048         46.0153         1.59694         
W144    3468.97         3469.52         0.123303        0.99984         49.9621         0.829461        
W145    3470.23         3470.82         0.128423        0.99983         51.5967         1.78053         
W146    3471.36         3466.04         0.127181        1.00153         62.796          0.0307894       
W147    3472.34         3469.23         0.132924        1.0009          51.114          3.81701         
W148    3473.19         3478.71         0.128381        0.998412        33.0056         2.22575         
W149    3473.89         3474.24         0.126296        0.999901        66.9829         2.39149         
W150    3474.46         3483.88         0.134323        0.997295        21.7126         1.66131         
