Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      3448.24         3830.39         0.126934        0.900233        1.06959         5.56002e-07     
W2      3450.45         3759.42         0.111639        0.917814        38.2814         1.70045         
W3      3452.53         3483.44         0.123767        0.991127        36.1655         2.01666         
W4      3454.47         3724.65         0.140789        0.927461        124.205         2.00578         
W5      3456.27         3503.85         0.144781        0.986421        199.999         0.16787         
W6      3457.94         3527.2          0.124851        0.980364        34.2091         4.5215          
W7      3459.47         3660.09         0.126148        0.945187        45.5762         4.91823         
W8      3460.87         3496.69         0.148568        0.989755        12.4208         1.93578         
W9      3462.12         3545.61         0.143274        0.976454        67.688          0.959477        
W10     3463.24         3494.86         0.144225        0.990951        37.8627         2.40323         
W11     3464.22         3530.02         0.142215        0.981359        62.6571         0.489244        
W12     3465.06         3607.18         0.138768        0.960601        33.8286         6.08702         
W13     3465.76         3329.6          0.12792         1.04089         70.5087         0.767812        
W14     3466.32         3436.75         0.14837         1.0086          48.9855         1.78099         
W15     3466.74         3606.35         0.163964        0.961287        7.02438         1.40825         
W16     3467.02         3510.52         0.158071        0.987609        49.8573         0.399903        
W17     3467.16         3499.37         0.144781        0.990794        104.701         0.389775        
W18     3467.16         3568.98         0.151825        0.971471        18.2741         2.12722         
W19     3467.02         3561.82         0.148448        0.973385        36.2047         0.68553         
W20     3466.74         3574.67         0.151524        0.969806        32.5619         4.29266         
W21     3466.32         3603.18         0.173369        0.962017        47.6148         2.55636         
W22     3465.76         3566.5          0.122964        0.971753        40.9937         3.70197         
W23     3465.06         3498.03         0.137893        0.990575        44.5085         2.57291         
W24     3464.22         3618.81         0.130544        0.957282        60.9761         1.91125         
W25     3463.24         3739.72         0.153056        0.926069        6.23397         0.991345        
W26     3462.12         3597.77         0.145894        0.962296        6.34674         0.18334         
W27     3460.87         3565.44         0.129268        0.97067         42.1644         1.21285         
W28     3459.47         3499.52         0.134289        0.988557        40.2238         0.815605        
W29     3457.94         3769.87         0.154001        0.917258        103.043         1.87835         
W30     3456.27         3548.14         0.145999        0.974107        92.6178         0.500507        
W31     3454.47         3808.81         0.152805        0.906968        3.13061         9.34207e-06     
W32     3452.53         3595.83         0.143513        0.960148        33.9536         3.84685         
W33     3450.45         3530            0.154176        0.977465        38.3628         4.38            
W34     3448.24         3730.04         0.150059        0.924452        1.05696         3.41012e-06     
W35     3450.45         3676.01         0.139936        0.938639        10.1796         2.07847         
W36             3452.66         3425.21         1.00802         182.813         1.10146         
W37     3454.74         3447.58         0.13007         1.00208         41.9031         1.73084         
W38             3456.69         3441.61         1.00438         158.866         0.96709         
W39             3458.49         3466.38         0.997725        65.7716         0.851639        
W40     3460.17         3499.53         0.124961        0.988751        78.8093         4.23634         
W41             3461.7          3034.81         1.14066         299.511         0.840972        
W42     3463.1          2458.4          0.0676441       1.40868         43.8777         1.6178          
W43     3464.35         3409.38         0.130507        1.01612         45.3675         2.16659         
W44     3465.47         3477.27         0.122135        0.996607        80.3004         5.39713         
W45     3466.46         3472.04         0.126893        0.998391        48.846          1.56359         
W46     3467.3          101207          0.133579        0.5             199.999         0.678162        
W47     3468            3469.44         0.132151        0.999583        62.3849         2.94638         
W48     3468.56         3466.59         0.142777        1.00057         34.3348         0.290726        
W49     3468.98         3470.63         0.141799        0.999524        41.0574         4.73033         
W50     3469.26         3470            0.153523        0.999786        57.3            0.642332        
W51     3469.4          3462.11         0.133587        1.0021          63.9112         1.46009         
W52     3469.4          3484.67         0.147738        0.995619        87.3483         0.872909        
W53     3469.26         3476.11         0.133969        0.99803         36.8678         0.746177        
W54     3468.98         3467.57         0.131125        1.00041         52.0344         1.59865         
W55     3468.56         3197.09         0.101665        1.08491         34.7944         2.16928         
W56     3468            3455.45         0.119171        1.00363         59.4887         2.04279         
W57     3467.3          3457.47         0.126347        1.00284         49.2631         1.08737         
W58     3466.46         3446.94         0.143302        1.00566         100.001         0.803078        
W59     3465.47         3459.9          0.126024        1.00161         66.2844         0.249614        
W60     3464.35         3530.89         0.121481        0.981157        32.648          1.65862         
W61     3463.1          3483.78         0.133181        0.994063        42.6351         1.75455         
W62     3461.7          3465.93         0.139237        0.998779        27.3743         2.22252         
W63     3460.17         3455.44         0.138746        1.00137         47.7045         1.05402         
W64             3458.49         3453.63         1.00141         92.6702         2.21161         
W65             3456.69         3461.95         0.998481        150.545         1.219           
W66             3454.74         3400.27         1.01602         360.962         0.749087        
W67             3452.66         3462.72         0.997096        220.104         0.939675        
W68     3450.45         3607.17         0.125788        0.956553        44.5617         0.346761        
