Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      3448.24         3830.39         0.126934        0.900233        1.06959         5.56002e-07     
W2      3450.45         3759.42         0.111639        0.917814        38.2814         1.70045         
W3      3452.53         3483.44         0.123767        0.991127        36.1655         2.01666         
W4      3454.47         3724.65         0.140789        0.927461        124.205         2.00578         
W5      3456.27         3580.4          0.144781        0.96533         110.453         0.309112        
W6      3457.94         3524.21         0.124851        0.981196        35.4178         2.70657         
W7      3459.47         3637.43         0.126148        0.951077        42.4374         5.69568         
W8      3460.87         3466.93         0.148568        0.99825         37.4967         0.303931        
W9      3462.12         3505.19         0.143274        0.987712        37.8169         0.491341        
W10     3463.24         3515.14         0.144225        0.985235        29.5518         0.732963        
W11     3464.22         3530.02         0.142215        0.981359        62.6571         0.489244        
W12     3465.06         3523.09         0.138768        0.983528        68.7198         2.94449         
W13     3465.76         3550            0.12792         0.97627         12.7196         0.0561286       
W14     3466.32         3441.56         0.14837         1.00719         57.4842         3.67719         
W15     3466.74         3548.76         0.163964        0.976887        102.175         2.88855         
W16     3467.02         3504.53         0.158071        0.989296        40.4493         0.752464        
W17     3467.16         3511.34         0.144781        0.987419        78.4169         0.18252         
W18     3467.16         3569.3          0.151825        0.971382        17.7838         2.21762         
W19     3467.02         3574.41         0.148448        0.969955        26.5841         1.18902         
W20     3466.74         3593.15         0.151524        0.964818        200             3.12401         
W21     3466.32         3600.26         0.173369        0.962796        23.8674         2.49836         
W22     3465.76         3564.19         0.122964        0.972383        41.32           2.4338          
W23     3465.06         3500.06         0.137893        0.989999        48.1167         3.41075         
W24     3464.22         3595.31         0.130544        0.963538        43.2087         1.33868         
W25     3463.24         3739.72         0.153056        0.926069        6.23397         0.991345        
W26     3462.12         3512.98         0.145894        0.985524        53.0707         2.85437         
W27     3460.87         3453.19         0.129268        1.00222         34.7545         0.578225        
W28     3459.47         3505.24         0.134289        0.986944        45.326          0.264757        
W29     3457.94         3766.62         0.154001        0.918048        51.4116         0.255828        
W30     3456.27         3578.76         0.145999        0.965773        37.7758         0.616461        
W31     3454.47         3808.81         0.152805        0.906968        3.13061         9.34207e-06     
W32     3452.53         3597.4          0.143513        0.959729        48.8724         4.57046         
W33     3450.45         3758.82         0.154176        0.91796         5.82311         3.58898e-05     
W34     3448.24         3730.04         0.150059        0.924452        1.05696         3.41012e-06     
W35     3450.45         3676.01         0.139936        0.938639        10.1796         2.07847         
W36             3452.66         3434.24         1.00536         163.116         0.940694        
W37     3454.74         3448.42         0.129927        1.00183         42.0626         1.03583         
W38             3456.69         3492.41         0.989773        154.436         0.750127        
W39             3458.49         3466.43         0.997709        84.958          0.848482        
W40     3460.17         3515.69         0.1268          0.984206        199.504         3.35614         
W41     3461.7          3690.91         0.0818559       0.9379          1.13551         4.26666e-08     
W42     3463.1          3439.28         0.134358        1.00692         56.9795         0.606395        
W43     3464.35         3474.25         0.130859        0.997153        51.2581         4.35371         
W44     3465.47         3486.44         0.122394        0.993988        69.5106         2.14819         
W45     3466.46         3469.13         0.126748        0.999229        46.6187         3.19704         
W46     3467.3          3468.23         0.133842        0.999732        100.226         0.830684        
W47     3468            3453.07         0.131674        1.00432         55.1944         1.18041         
W48     3468.56         3459.19         0.142213        1.00271         42.8137         1.42179         
W49     3468.98         3474.72         0.142119        0.998347        39.6891         2.69845         
W50     3469.26         3474.97         0.153318        0.998357        53.0502         0.915091        
W51     3469.4          3485.66         0.133196        0.995336        19.6491         3.03254         
W52     3469.4          3474.89         0.14767         0.998421        93.4488         1.94621         
W53     3469.26         3477.7          0.134416        0.997574        39.4638         1.33976         
W54     3468.98         3475.07         0.131529        0.998249        62.6567         1.69187         
W55     3468.56         3261.18         0.0914929       1.06359         5.82572         4.21023e-05     
W56     3468            3461.83         0.120043        1.00178         53.2938         2.09588         
W57     3467.3          3470            0.126531        0.999222        57.6842         1.96837         
W58     3466.46         3439.81         0.143738        1.00775         130.506         0.389462        
W59     3465.47         3499.05         0.127209        0.990403        24.5847         0.289817        
W60     3464.35         3364.52         0.113371        1.02967         57.9973         2.44518         
W61     3463.1          3427.23         0.130752        1.01047         56.2721         1.55862         
W62     3461.7          3453.69         0.140063        1.00232         42.2115         2.98297         
W63     3460.17         3444.88         0.137714        1.00444         28.9645         1.31167         
W64     3458.49         3535.05         0.122515        0.978345        35.9215         1.61057         
W65             3456.69         3495.03         0.98903         224.609         0.736299        
W66             3454.74         3443.05         1.00339         359.918         0.622282        
W67             3452.66         3448.59         1.00118         286.987         1.05861         
