Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1      3448.24         3830.39         0.126934        0.900233        1.06959         5.56002e-07     
W2      3450.45         3750.01         0.111639        0.920118        34.3106         2.91697         
W3      3452.53         3481.45         0.123767        0.991692        36.0288         1.47469         
W4              3454.47         3600.56         0.959425        335.284         0.494004        
W5              3456.27         3566.69         0.96904         321.3           0.65017         
W6              3457.94         3098.28         1.11609         241.686         0.724217        
W7              3459.47         3751.08         0.922259        435.691         0.466507        
W8              3460.87         3369.98         1.02697         224.538         0.576047        
W9              3462.12         3495.56         0.990435        144.476         0.633495        
W10             3463.24         3414.22         1.01436         202.837         0.770086        
W11             3464.22         3477.11         0.996294        366.487         1.32556         
W12             3465.06         3484.07         0.994544        363.859         2.07543         
W13     3465.76         3711.92         0.137006        0.933683        3.32405         0.135939        
W14     3466.32         3571.52         0.152872        0.970545        52.9292         2.01187         
W15             3466.74         3452.2          1.00421         252.254         0.890688        
W16             3467.02         3424.66         1.01237         134.197         1.35509         
W17             3467.16         3458.85         1.0024          158.94          1.6481          
W18             3467.16         3434.16         1.00961         214.001         1.43561         
W19             3467.02         3492.82         0.992613        198.45          1.27291         
W20             3466.74         3477.47         0.996914        231.775         3.15643         
W21             3466.32         3416.26         1.01465         225.541         1.77245         
W22             3465.76         3495.17         0.991587        213.337         2.19786         
W23             3465.06         3448.95         1.00467         598.553         1.67647         
W24             3464.22         3518.17         0.984666        270.653         1.56102         
W25             3463.24         3396.85         1.01954         239.702         0.696603        
W26             3462.12         3565            0.971142        502.434         1.05954         
W27             3460.87         3481.25         0.994146        217.231         0.935493        
W28             3459.47         3520.7          0.982608        269.8           0.87036         
W29             3457.94         3327.95         1.03906         373.576         0.345643        
W30             3456.27         3454.78         1.00043         239.87          0.658613        
W31             3454.47         3464.39         0.997138        302.977         0.506862        
W32             3452.53         3400.17         1.0154          416.059         0.441602        
W33             3450.45         3478.11         0.992048        189.192         1               
W34             3448.24         3389.6          1.0173          342.487         0.116386        
W35             3450.45         3384.29         1.01955         219.601         1               
W36             3452.66         3453.43         0.999777        188.941         1.19997         
W37     3454.74         3441.67         0.129436        1.0038          32.6229         0.746419        
W38             3456.69         3435.91         1.00605         244.061         1.68568         
W39             3458.49         3510.51         0.985182        84.5578         1.4846          
W40     3460.17         3558.76         0.130413        0.972295        38.321          3.75184         
W41     3461.7          3830.39         0.090574        0.903747        1.06959         5.56002e-07     
W42     3463.1          3482.97         0.135129        0.994295        27.4767         0.531038        
W43     3464.35         3497            0.132092        0.990665        51.4851         4.5619          
W44     3465.47         3524.72         0.124487        0.98319         69.0481         5.42259         
W45     3466.46         3479.89         0.127239        0.99614         42.6328         1.6687          
W46     3467.3          3490.6          0.134741        0.993325        72.6315         1.91692         
W47     3468            3491.75         0.132576        0.993198        65.7634         4.47483         
W48     3468.56         3481.86         0.142759        0.99618         39.5648         3.86417         
W49     3468.98         3489.98         0.142979        0.993984        42.523          2.16948         
W50     3469.26         3468.29         0.153275        1.00028         57.6142         2.10562         
W51     3469.4          3520.12         0.135144        0.985591        34.5797         1.08727         
W52     3469.4          3458.7          0.147215        1.00309         58.619          0.872537        
W53     3469.26         3490.03         0.13522         0.99405         57.6103         0.711209        
W54     3468.98         3479.74         0.131937        0.996907        57.8617         1.08275         
W55     3468.56         2899.93         0.0764936       1.19609         6.1076          1.68872         
W56     3468            3488.27         0.120745        0.994189        42.3147         0.982552        
W57     3467.3          3474.78         0.126804        0.997845        49.7953         1.9899          
W58     3466.46         3446.11         0.142894        1.0059          45.7944         0.128965        
W59     3465.47         3498.33         0.128416        0.990608        48.2252         0.30449         
W60     3464.35         3697.37         0.120997        0.936978        60.3424         1.88375         
W61     3463.1          3492.4          0.131858        0.991611        24.1624         0.617832        
W62     3461.7          3429.13         0.138745        1.0095          47.3686         3.39251         
W63     3460.17         3424.33         0.136288        1.01047         34.5265         2.0946          
W64             3458.49         3544.43         0.975754        92.9918         1.19412         
W65             3456.69         3518.5          0.982433        167.008         0.817388        
W66             3454.74         3578.24         0.965485        297.131         0.487922        
W67             3452.66         3494.47         0.988036        379.257         0.428111        
W68             3450.45         3773.05         0.914498        193.559         0.587886        
W69             3452.52         3329.57         1.03693         219.822         1               
W70             3454.74         3449.9          1.0014          110.951         1.06776         
W71             3456.82         3335.05         1.03651         68.8148         0.879566        
W72     3458.77         3448.24         0.118788        1.00305         33.2733         0.405693        
W73     3460.58         3438.62         0.122038        1.00639         47.8931         5.38028         
W74     3462.25         3484.55         0.126472        0.993601        38.2144         1.15455         
W75     3463.79         3507.35         0.122202        0.98758         69.4564         1.11698         
W76     3465.19         3470.89         0.129395        0.998357        42.1771         1.27825         
W77     3466.45         3419.18         0.134412        1.01383         25.5976         3.83715         
W78     3467.57         3469.1          0.136237        0.999559        67.4509         2.04148         
W79     3468.55         3480.42         0.153449        0.99659         39.4388         2.75663         
W80     3469.4          3411.21         0.149836        1.01706         36.5093         0.444697        
W81     3470.1          3479.67         0.143676        0.99725         40.1356         0.684495        
W82     3470.66         3455.5          0.141212        1.00439         59.8822         1.2266          
W83     3471.08         3462.38         0.13639         1.00251         60.2809         5.94463         
W84     3471.36         3469.24         0.138023        1.00061         44.9677         0.0937063       
W85     3471.51         3497.26         0.132557        0.992637        50.9261         0.604926        
W86     3471.51         3453.29         0.144277        1.00528         33.5518         0.475346        
W87     3471.36         3500.76         0.133453        0.991604        27.8431         1.09758         
W88     3471.08         3494.63         0.138583        0.993262        30.8989         0.442624        
W89     3470.66         3489.41         0.119888        0.994627        53.9733         0.350351        
W90     3470.1          3459.79         0.130911        1.00298         60.2702         0.75561         
W91     3469.4          3462.23         0.13353         1.00207         52.3217         1.327           
W92     3468.55         3489.76         0.127355        0.993924        49.005          0.837912        
W93     3467.57         3427.85         0.132501        1.01159         99.2371         1.03002         
W94     3466.45         3462.59         0.144726        1.00111         44.6135         3.23167         
W95     3465.19         3525.67         0.124657        0.982846        22.7208         5.25147         
W96     3463.79         3461.32         0.13151         1.00072         51.2402         1.95681         
W97     3462.25         3445.45         0.137297        1.00488         53.5579         0.846474        
W98     3460.58         3483.95         0.127796        0.993293        45.303          1.01862         
W99     3458.77         3516.37         0.134548        0.98362         69.4287         0.884526        
W100            3456.82         3448.09         1.00253         106.629         1.2587          
W101    3454.74         3601.98         0.14485         0.959123        14.7261         0.549348        
W102            3452.52         3571.37         0.966722        393.277         1.09999         
W103            3454.46         3283.8          1.05197         324.802         0.20261         
W104            3456.68         3463.04         0.998165        150.11          0.502499        
W105    3458.77         3485.36         0.114334        0.992368        58.0687         1.28039         
W106    3460.72         3465.29         0.115803        0.998681        28.708          0.10096         
W107    3462.53         3500.33         0.105011        0.989202        35.0524         0.93066         
W108    3464.21         3507.33         0.105363        0.987706        34.3277         3.71986         
W109    3465.75         3451.1          0.123752        1.00424         43.457          1.04941         
W110    3467.15         3475.79         0.122162        0.997513        53.8044         0.159792        
W111    3468.41         3509.74         0.126099        0.988223        33.2983         0.546579        
W112    3469.53         3491.12         0.125649        0.993818        30.3214         2.97599         
W113    3470.52         3450            0.141581        1.00595         58.2235         1.66038         
W114    3471.36         3499.64         0.125712        0.991919        69.6789         0.228435        
W115    3472.06         3474.7          0.128017        0.999243        48.8238         0.519516        
W116    3472.63         3492.7          0.126354        0.994252        59.417          5.98949         
W117    3473.05         3445.13         0.133596        1.0081          58.4287         1.65742         
W118    3473.33         3507.68         0.121055        0.990208        47.6232         0.60209         
