Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W1              3448.24         3363.85         1.02509         142.372         1               
W2              3450.45         3112.5          1.10858         249.687         1               
W3              3452.53         3463.49         0.996836        247.036         0.274254        
W4              3454.47         3771.65         0.915903        365.3           0.336018        
W5              3456.27         3375.53         1.02392         193.014         1               
W6              3457.94         1885.61         1.83386         686.836         0.250208        
W7              3459.47         3410.41         1.01438         629.525         0.488164        
W8              3460.87         3181.35         1.08786         301.623         0.574512        
W9              3462.12         3346.21         1.03464         247.823         0.885686        
W10             3463.24         3146.97         1.1005          217.292         0.77452         
W11             3464.22         3385.08         1.02338         157.345         0.837571        
W12             3465.06         3332.78         1.03969         371.058         1.30194         
W13             3465.76         3439.2          1.00772         229.147         1.66076         
W14             3466.32         3453.7          1.00365         159.551         1.16319         
W15             3466.74         3303.77         1.04933         234.588         0.807206        
W16             3467.02         3286.67         1.05487         111.686         1.33004         
W17             3467.16         3370.68         1.02862         134.179         1.65234         
W18             3467.16         3330.47         1.04104         178.824         2.6515          
W19             3467.02         3421.75         1.01323         205.512         2.28779         
W20             3466.74         3312.73         1.04649         291.155         1.76622         
W21             3466.32         3010.95         1.15124         194.539         1.66307         
W22             3465.76         3255.4          1.06462         226.326         1.77701         
W23             3465.06         3323.77         1.04251         378.762         1.852           
W24             3464.22         3391.29         1.0215          230.702         1.2729          
W25             3463.24         2962.78         1.16891         334.047         0.913365        
W26             3462.12         2995.62         1.15573         333.892         0.552778        
W27             3460.87         3466.09         0.998494        139.254         0.750535        
W28             3459.47         3375.39         1.02491         175.436         0.797309        
W29             3457.94         3152.61         1.09685         356.851         0.316389        
W30             3456.27         3316.76         1.04206         515.089         0.471978        
W31             3454.47         2959.55         1.16723         229.128         1               
W32             3452.53         2949.29         1.17063         422.723         0.235441        
W33             3450.45         3177.02         1.08607         290.058         0.73113         
W34             3448.24         3333.77         1.03434         423.121         0.210846        
W35             3450.45         3241.2          1.06456         173.351         1               
W36             3452.66         3342.36         1.033           209.345         0.723771        
W37     3454.74         3396.5          0.127254        1.01715         25.8613         1.83362         
W38             3456.69         3320.27         1.04109         199.123         0.818979        
W39             3458.49         3481.95         0.993261        104.295         0.962225        
W40             3460.17         3246.78         1.06572         305.069         1.22248         
W41     3461.7          3870.19         0.101262        0.894452        3.4618          1.81525e-07     
W42     3463.1          3411.43         0.133113        1.01514         27.424          1.43944         
W43     3464.35         3454.65         0.131722        1.00281         51.8894         1.84585         
W44     3465.47         3536.45         0.127036        0.979929        43.3504         4.55373         
W45     3466.46         3498.22         0.128405        0.99092         25.3637         2.17542         
W46     3467.3          3468.63         0.134793        0.999615        89.3738         3.36085         
W47     3468            3505.38         0.134005        0.989336        48.7622         6.50547         
W48     3468.56         3431.08         0.141216        1.01092         50.8599         1.16323         
W49     3468.98         3484.98         0.143638        0.995409        37.5235         2.50366         
W50     3469.26         3408.63         0.150597        1.01779         54.5104         3.79362         
W51     3469.4          3480.12         0.135561        0.996919        63.3671         0.930547        
W52     3469.4          3388.38         0.143777        1.02391         69.8786         0.471113        
W53     3469.26         3509.79         0.1368          0.988452        46.2455         2.63406         
W54     3468.98         3466.71         0.131851        1.00065         33.9495         1.22723         
W55     3468.56         2766.01         0.061           1.25399         3.39289         2.94966e-05     
W56     3468            3465.09         0.120643        1.00084         21.4244         1.65453         
W57     3467.3          3377.74         0.123528        1.02651         63.0512         0.792958        
W58     3466.46         3428.87         0.141345        1.01096         50.6953         1.04756         
W59     3465.47         3484.54         0.129122        0.994527        26.6821         3.46776         
W60     3464.35         3514.97         0.122765        0.985599        61.8043         4.54535         
W61     3463.1          3457.16         0.131632        1.00172         47.0594         1.36994         
W62     3461.7          3384.26         0.135641        1.02288         22.4887         0.805438        
W63     3460.17         3247.75         0.127921        1.0654          30.0486         2.35736         
W64     3458.49         3525.4          0.127988        0.981023        80.6986         1.69933         
W65             3456.69         3298.66         1.04791         162.554         0.649194        
W66             3454.74         3171.3          1.08938         293.869         0.71083         
W67             3452.66         3194.12         1.08094         310.808         0.622132        
W68             3450.45         3817.67         0.90381         557.698         0.375264        
W69             3452.52         3232.72         1.06799         414.158         0.533631        
W70             3454.74         3338.93         1.03468         90.2889         2.0102          
W71     3456.82         3437.23         0.123644        1.0057          60.4111         1.88375         
W72     3458.77         3294.01         0.11313         1.05002         41.1844         2.88372         
